Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","450","Madagascar","5510","Production","21159.01","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2023","2023","tonnes","0.36","I","Valeur imputée",""
"QCL","Cultures et produits animaux","450","Madagascar","5510","Production","21151","Abats, comestibles, bovins, frais, réfrigérés ou congelés","2023","2023","tonnes","5995","I","Valeur imputée",""
"QCL","Cultures et produits animaux","450","Madagascar","5510","Production","21156","Abats, comestibles, caprins, frais, réfrigérés ou congelés","2023","2023","tonnes","911.04","I","Valeur imputée",""
"QCL","Cultures et produits animaux","450","Madagascar","5510","Production","21155","Abats, comestibles, ovins, frais, réfrigérés ou congelés","2023","2023","tonnes","299.56","I","Valeur imputée",""
"QCL","Cultures et produits animaux","450","Madagascar","5510","Production","21153","Abats, comestibles, suides, frais, réfrigérés ou congelés","2023","2023","tonnes","885.63","I","Valeur imputée",""
"QCL","Cultures et produits animaux","450","Madagascar","5312","Superficie récoltée","01343","Abricots","2023","2023","ha","182","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5412","Rendement","01343","Abricots","2023","2023","kg/ha","8220","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5510","Production","01343","Abricots","2023","2023","tonnes","1499.69","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5312","Superficie récoltée","01252","Ail frais","2023","2023","ha","388","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5412","Rendement","01252","Ail frais","2023","2023","kg/ha","6546.4","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5510","Production","01252","Ail frais","2023","2023","tonnes","2538.62","I","Valeur imputée",""
"QCL","Cultures et produits animaux","450","Madagascar","5312","Superficie récoltée","01318","Ananas","2023","2023","ha","15696","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5412","Rendement","01318","Ananas","2023","2023","kg/ha","5586.7","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5510","Production","01318","Ananas","2023","2023","tonnes","87686.75","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5312","Superficie récoltée","01654","Anis, badiane, coriandre, cumin, carvi, fenouil et baies de genièvre, crus","2023","2023","ha","61","I","Valeur imputée",""
"QCL","Cultures et produits animaux","450","Madagascar","5412","Rendement","01654","Anis, badiane, coriandre, cumin, carvi, fenouil et baies de genièvre, crus","2023","2023","kg/ha","1300.8","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5510","Production","01654","Anis, badiane, coriandre, cumin, carvi, fenouil et baies de genièvre, crus","2023","2023","tonnes","79.91","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5312","Superficie récoltée","0142","Arachides non décortiquées","2023","2023","ha","63332","I","Valeur imputée",""
"QCL","Cultures et produits animaux","450","Madagascar","5412","Rendement","0142","Arachides non décortiquées","2023","2023","kg/ha","887.5","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5510","Production","0142","Arachides non décortiquées","2023","2023","tonnes","56205.56","I","Valeur imputée",""
"QCL","Cultures et produits animaux","450","Madagascar","5312","Superficie récoltée","01233","Aubergines","2023","2023","ha","436","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5412","Rendement","01233","Aubergines","2023","2023","kg/ha","4156.5","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5510","Production","01233","Aubergines","2023","2023","tonnes","1814.07","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5312","Superficie récoltée","01699","Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.","2023","2023","ha","235","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5412","Rendement","01699","Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.","2023","2023","kg/ha","1837.6","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5510","Production","01699","Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.","2023","2023","tonnes","432.51","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5312","Superficie récoltée","01379.90","Autres fruits à coques (à l’exclusion des fruits à coque et arachides que l’on trouve dans la nature), en coque, n.c.a.","2023","2023","ha","967","I","Valeur imputée",""
"QCL","Cultures et produits animaux","450","Madagascar","5412","Rendement","01379.90","Autres fruits à coques (à l’exclusion des fruits à coque et arachides que l’on trouve dans la nature), en coque, n.c.a.","2023","2023","kg/ha","4496.5","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5510","Production","01379.90","Autres fruits à coques (à l’exclusion des fruits à coque et arachides que l’on trouve dans la nature), en coque, n.c.a.","2023","2023","tonnes","4347.67","I","Valeur imputée",""
"QCL","Cultures et produits animaux","450","Madagascar","5312","Superficie récoltée","01359.90","Autres fruits n.a.c.","2023","2023","ha","1819","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5412","Rendement","01359.90","Autres fruits n.a.c.","2023","2023","kg/ha","6880.1","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5510","Production","01359.90","Autres fruits n.a.c.","2023","2023","tonnes","12514.9","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5312","Superficie récoltée","01319","Autres fruits tropicaux frais nda","2023","2023","ha","57178","I","Valeur imputée",""
"QCL","Cultures et produits animaux","450","Madagascar","5412","Rendement","01319","Autres fruits tropicaux frais nda","2023","2023","kg/ha","4202.2","E","Valeur estimée",""
"QCL","Cultures et produits animaux","450","Madagascar","5510","Production","01319","Autres fruits tropicaux frais nda","2023","2023","tonnes","240277.33","I","Valeur imputée",""
"QCL","Cultures et produits animaux","450","Madagascar","5312","Superficie récoltée","01449.90","Autres graines oleagineuses n.a.c.","2023","2023","ha","485","I","Valeur imputée",""
