latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-22.53033,45.30789,313.63,4.19,1.9,2025-09-08,20,A,88,6.1NRT,287.14,116.14,N
-22.53391,45.34933,304.83,4.22,1.9,2025-09-08,20,A,62,6.1NRT,286.48,70.12,N
-22.53437,45.29966,305.52,4.19,1.9,2025-09-08,20,A,65,6.1NRT,286.69,70.12,N
-22.5376,45.33999,310.89,4.22,1.9,2025-09-08,20,A,81,6.1NRT,286.66,101.74,N
-15.9998,46.08409,319.91,4.41,1.93,2025-09-08,642,T,72,6.1NRT,296.74,89.2,D
-16.00266,46.07828,318.85,4.41,1.93,2025-09-08,642,T,70,6.1NRT,296.82,81.43,D
-17.47546,44.75591,324.58,3.64,1.79,2025-09-08,644,T,78,6.1NRT,294.9,99.18,D
-17.47867,44.7887,323.55,3.66,1.79,2025-09-08,644,T,77,6.1NRT,294.78,94.83,D
-17.46918,44.75116,319.79,3.64,1.79,2025-09-08,644,T,38,6.1NRT,294.88,57.99,D
-17.47212,44.78364,326.9,3.66,1.79,2025-09-08,644,T,80,6.1NRT,294.88,109.69,D
-21.49564,43.83005,316.21,3.47,1.75,2025-09-08,644,T,65,6.1NRT,302.42,40.75,D
-21.49061,43.82362,313.2,3.47,1.75,2025-09-08,644,T,57,6.1NRT,302.16,28.89,D
-22.64224,44.58376,316.45,4.08,1.87,2025-09-08,644,T,66,6.1NRT,304.02,46.91,D
-22.64735,44.57629,321.88,4.08,1.87,2025-09-08,644,T,75,6.1NRT,303.74,91.2,D
-24.65841,46.48944,325.71,1.86,1.33,2025-09-08,1225,A,74,6.1NRT,309.61,29.52,D
-24.64814,46.49822,327.39,1.86,1.33,2025-09-08,1225,A,75,6.1NRT,308.53,31.86,D
-24.16211,46.91385,317.96,2.04,1.39,2025-09-08,1225,A,46,6.1NRT,301.51,27.33,D
-23.94702,46.6725,316.75,1.98,1.37,2025-09-08,1225,A,37,6.1NRT,299.17,23.56,D
-24.1351,45.68777,319.98,1.68,1.27,2025-09-08,1225,A,61,6.1NRT,309.79,12.8,D
-23.96253,46.1123,330.65,1.81,1.32,2025-09-08,1225,A,80,6.1NRT,305.54,45.63,D
-23.95449,46.10254,323.67,1.81,1.32,2025-09-08,1225,A,70,6.1NRT,305.47,28.57,D
-24.00464,45.69897,320.61,1.69,1.28,2025-09-08,1225,A,62,6.1NRT,307.93,15.96,D
-23.79546,45.82811,320.94,1.74,1.29,2025-09-08,1225,A,65,6.1NRT,308.3,16.7,D
-23.596,46.40863,315.5,1.93,1.36,2025-09-08,1225,A,16,6.1NRT,302.89,17.04,D
-23.46136,46.40099,321.35,1.95,1.36,2025-09-08,1225,A,66,6.1NRT,301.35,35.03,D
-23.34415,46.32763,321.58,1.93,1.36,2025-09-08,1225,A,67,6.1NRT,301.03,35.1,D
-23.47282,45.49847,322.46,1.68,1.27,2025-09-08,1225,A,69,6.1NRT,311.59,16.15,D
-23.53878,44.94708,332.71,1.53,1.22,2025-09-08,1225,A,62,6.1NRT,311.88,37.24,D
-23.54141,44.93248,322.84,1.53,1.22,2025-09-08,1225,A,61,6.1NRT,312.49,14.73,D
-23.5368,44.9411,324.9,1.53,1.22,2025-09-08,1225,A,55,6.1NRT,311.72,17.94,D
-23.0942,46.96106,319.73,2.17,1.43,2025-09-08,1225,A,65,6.1NRT,301.18,38.47,D
