latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-15.10064,49.00824,325.43,1.98,1.37,2025-09-26,525,T,80,6.1NRT,297.15,51.02,D
-15.10457,49.001,321.44,1.98,1.37,2025-09-26,525,T,76,6.1NRT,297.34,41.15,D
-16.58214,47.94893,317.99,2.23,1.45,2025-09-26,525,T,68,6.1NRT,302.37,23.08,D
-17.62414,47.80188,327.17,2.19,1.43,2025-09-26,527,T,79,6.1NRT,298.05,58.35,D
-18.00117,46.53843,320.34,2.68,1.57,2025-09-26,527,T,72,6.1NRT,301.57,39.64,D
-18.3602,46.59895,320.28,2.61,1.55,2025-09-26,527,T,72,6.1NRT,302.45,38.76,D
-18.35289,46.59467,318.85,2.61,1.55,2025-09-26,527,T,70,6.1NRT,302.53,33.67,D
-22.43666,45.95307,313.43,2.39,1.49,2025-09-26,527,T,64,6.1NRT,292.06,29.74,D
-23.79737,46.00852,308.38,2.21,1.44,2025-09-26,527,T,28,6.1NRT,291.51,13.5,D
-21.42165,43.94061,328.92,1.87,1.34,2025-09-26,1234,A,78,6.1NRT,308.42,38.81,D
-21.39021,43.73142,321.07,1.81,1.32,2025-09-26,1234,A,66,6.1NRT,305.9,18.73,D
-20.94282,44.52283,344.03,2.12,1.41,2025-09-26,1234,A,91,6.1NRT,304.23,113.06,D
-20.94647,44.50335,345.12,2.11,1.41,2025-09-26,1234,A,92,6.1NRT,307.06,118.06,D
-20.27682,44.60897,330.8,2.22,1.44,2025-09-26,1234,A,81,6.1NRT,302.11,66.4,D
-20.16572,44.91212,318.99,2.35,1.48,2025-09-26,1234,A,64,6.1NRT,303.42,17.52,D
-20.15746,44.68579,319.04,2.26,1.46,2025-09-26,1234,A,64,6.1NRT,302.37,19.91,D
-20.16139,44.66505,318.83,2.25,1.45,2025-09-26,1234,A,64,6.1NRT,302.49,18.95,D
-19.75688,46.33923,316.1,3.08,1.67,2025-09-26,1234,A,44,6.1NRT,297.59,31.08,D
-19.55032,44.89094,317.07,2.42,1.5,2025-09-26,1234,A,62,6.1NRT,300.13,21.33,D
-19.37362,45.45869,322.09,2.69,1.57,2025-09-26,1234,A,72,6.1NRT,303.1,36.89,D
-19.49729,44.73999,323.25,2.36,1.48,2025-09-26,1234,A,74,6.1NRT,300.44,41.81,D
-19.50126,44.71903,318.73,2.35,1.48,2025-09-26,1234,A,66,6.1NRT,300.74,25.47,D
-19.48424,44.73773,343.39,2.36,1.48,2025-09-26,1234,A,91,6.1NRT,300.98,137.66,D
-19.48829,44.7165,330.04,2.35,1.48,2025-09-26,1234,A,81,6.1NRT,301.21,66.04,D
-19.48776,44.7335,345.12,2.36,1.48,2025-09-26,1234,A,92,6.1NRT,301.93,148.67,D
-19.49163,44.71239,321.27,2.35,1.48,2025-09-26,1234,A,52,6.1NRT,301.12,30.43,D
-19.33466,44.76323,315.63,2.39,1.49,2025-09-26,1234,A,59,6.1NRT,300.08,19.88,D
-19.27575,45.00272,328.2,2.5,1.52,2025-09-26,1234,A,80,6.1NRT,300.66,58.72,D
-19.25818,45.02234,328.91,2.51,1.52,2025-09-26,1234,A,81,6.1NRT,299.39,64.19,D
-19.26242,45.00015,356.65,2.5,1.52,2025-09-26,1234,A,98,6.1NRT,301.69,251.63,D
-19.2448,45.01992,321.05,2.51,1.52,2025-09-26,1234,A,53,6.1NRT,299.65,33.75,D
-18.81321,46.2746,322.32,3.19,1.69,2025-09-26,1234,A,63,6.1NRT,300.07,66.24,D
-18.815,46.26982,323.34,3.19,1.69,2025-09-26,1234,A,69,6.1NRT,299.71,70.64,D
-19.05519,44.77813,315.17,2.43,1.5,2025-09-26,1234,A,54,6.1NRT,298.93,20.52,D
-18.70501,45.34739,324.97,2.73,1.58,2025-09-26,1234,A,75,6.1NRT,304.12,40.72,D
-18.69464,45.36226,324.02,2.74,1.58,2025-09-26,1234,A,74,6.1NRT,304.68,38.71,D
-18.33098,45.36546,352.03,2.79,1.6,2025-09-26,1234,A,96,6.1NRT,297.6,258.27,D
-18.32121,45.38126,341.61,2.8,1.6,2025-09-26,1234,A,85,6.1NRT,294.33,171.33,D
-18.32574,45.35727,348.96,2.79,1.6,2025-09-26,1234,A,82,6.1NRT,296.27,228.3,D
-18.30042,44.63497,315.12,2.46,1.51,2025-09-26,1234,A,44,6.1NRT,298.23,21.86,D
-24.51857,46.40414,321.42,2.43,1.5,2025-09-26,1234,A,73,6.1NRT,299.66,43.58,D
-24.01906,44.50565,318.76,1.82,1.32,2025-09-26,1234,A,45,6.1NRT,301.46,19.73,D
-22.90785,44.62554,318.13,1.96,1.37,2025-09-26,1234,A,44,6.1NRT,305.05,14.95,D
-22.89095,44.28381,317.48,1.85,1.33,2025-09-26,1234,A,47,6.1NRT,302.24,14.81,D
-22.60661,45.52751,320.2,2.31,1.47,2025-09-26,1234,A,68,6.1NRT,304.03,25.66,D
-22.25202,45.58138,319.17,2.38,1.49,2025-09-26,1234,A,65,6.1NRT,303.84,25.86,D
-22.28349,44.58689,319.26,2.0,1.38,2025-09-26,1234,A,62,6.1NRT,305.89,16.77,D
-22.27717,44.59981,325.03,2.01,1.38,2025-09-26,1234,A,74,6.1NRT,306.16,32.71,D
-22.2806,44.58111,318.46,2.0,1.38,2025-09-26,1234,A,60,6.1NRT,305.47,15.03,D
-22.33656,43.94427,317.02,1.8,1.31,2025-09-26,1234,A,54,6.1NRT,301.47,15.19,D
-22.22565,43.92822,317.14,1.8,1.32,2025-09-26,1234,A,39,6.1NRT,303.17,14.71,D
-21.80139,44.12593,317.44,1.9,1.35,2025-09-26,1234,A,42,6.1NRT,304.73,10.74,D
-21.76725,43.69666,319.52,1.77,1.3,2025-09-26,1234,A,62,6.1NRT,304.0,16.92,D
-16.26764,44.76904,316.99,2.78,1.59,2025-09-26,1236,A,55,6.1NRT,298.19,39.31,D
-16.98935,47.81721,304.24,3.43,1.74,2025-09-26,1737,T,59,6.1NRT,290.85,34.43,N
-16.99278,47.81111,306.18,3.43,1.74,2025-09-26,1737,T,67,6.1NRT,290.97,42.32,N
-14.20312,48.50211,301.68,1.07,1.03,2025-09-26,2324,A,43,6.1NRT,288.66,6.48,N
-16.59109,47.74794,304.62,1.08,1.04,2025-09-26,2326,A,61,6.1NRT,290.34,7.87,N
-20.86129,45.50543,308.51,1.23,1.1,2025-09-26,2326,A,75,6.1NRT,293.69,10.78,N
